排名,bv,视频名,曲名,P主,时间修正,投稿日期,上周排名,歌姬,这周排名,id,view_this_week,favorite_this_week,coin_this_week,share,like_this_week,timestamp,id_last_week,view_last_week,favorite_last_week,coin_last_week,share_last_week,like_last_week,timestamp_last_week,新增播放,新增收藏,新增投币,新增点赞,得分
1,BV1obZjBSEpT,DECO*27 - 爱言叶V feat. 初音未来,爱的话语V,DECO*27,1.69,2026-02-14 21:22:06,0,初音ミク,0,7808,1501598.0,131196.0,177823.0,60868,246160.0,2026-02-17 00:40:40,,0,0,0,,0,,1501598.0,131196.0,177823.0,246160.0,10578811
2,BV1dTzRBCEkg,【重音テト/中译版】说谎的马卡龙/うそつきマカロン（BY： 暴飲暴食P）,说谎的马卡龙,暴饮暴食P,1.0,2026-01-29 05:14:12,3,重音テト,2,6038,4137966.0,310369.0,80079.0,51138,342173.0,2026-02-17 00:30:09,5966.0,2162384,192793,45823,31370.0,212052,2026-02-10 00:27:38,1975582.0,117576.0,34256.0,130121.0,5157265
3,BV15GmhBaEZF,I Can't Wait feat. GUMI,我等不了啦,d0tc0mmie,1.0,2025-12-12 07:00:00,1,GUMI,1,675,16323535.0,997444.0,571703.0,122038,1619997.0,2026-02-17 00:05:16,669.0,14487267,921354,521165,113846.0,1477260,2026-02-10 00:03:19,1836268.0,76090.0,50538.0,142737.0,4921969
4,BV17NrWBaE87,ピノキオピー - 不死身ごっこ feat. 初音ミク,不死身游戏,ピノキオピー,1.0,2026-01-23 18:00:00,2,初音ミク,6,1047,3527592.0,165723.0,116268.0,32961,334665.0,2026-02-17 00:07:05,1038.0,2921550,147737,106701,31103.0,300595,2026-02-10 00:05:02,606042.0,17986.0,9567.0,34070.0,1265052
5,BV1CyFpzDEub,散り散り/重音テト【官方投稿】,散落,読谷あかね,1.0,2026-02-07 14:26:30,0,重音テト,0,1987,252727.0,32731.0,13065.0,2632,68415.0,2026-02-17 00:11:27,1964.0,16033,2425,2514,630.0,4157,2026-02-10 00:09:15,236694.0,30306.0,10551.0,64258.0,1200588
6,BV1ZrzuBXEhA,p.s.  ／ ナースロボ_タイプT,p.s.,あむぬeru,1.0,2026-01-24 20:00:00,12,ナースロボ_タイプT,8,5410,493971.0,93730.0,24895.0,6608,144235.0,2026-02-17 00:27:12,5347.0,282644,61052,14840,4199.0,89520,2026-02-10 00:24:47,211327.0,32678.0,10055.0,54715.0,1167292
7,BV1pnHWzkE4j,ピノキオピー - 愛属性 feat. 初音ミク,爱属性,ピノキオピー,1.0,2025-10-03 18:00:00,9,初音ミク,13,7996,9995697.0,450461.0,238091.0,66985,650520.0,2026-02-17 00:41:31,7901.0,9482930,432405,229835,65322.0,624545,2026-02-10 00:36:32,512767.0,18056.0,8256.0,25975.0,1109212
8,BV1X4cgzBESK,【初投稿/术力口原创曲】山羊假面,山羊假面,Udjat乌加,1.03,2026-02-10 12:00:00,0,flower·重音テト,0,4953,240482.0,25528.0,8491.0,2221,55567.0,2026-02-17 00:25:09,,0,0,0,,0,,240482.0,25528.0,8491.0,55567.0,1052047
9,BV1W8cwzeEr1,【本家投稿】パノプティコン / r-906 feat. 初音ミク,圆形监狱,r-906,1.0,2026-02-08 20:31:34,0,初音ミク,4,4813,470857.0,45695.0,36244.0,5641,85809.0,2026-02-17 00:24:31,4758.0,218641,25107,23957,3699.0,47588,2026-02-10 00:22:04,252216.0,20588.0,12287.0,38221.0,1044309
10,BV1zBq6BuEyH,【Official】ループザルーム / ルシノ feat. 初音ミク【Looping the Rooms】,循环之室,ルシノ,1.0,2025-12-20 22:23:24,6,初音ミク,9,9661,1593813.0,120165.0,30180.0,8684,113504.0,2026-02-17 00:52:05,9547.0,1188789,96791,23242,6839.0,89855,2026-02-10 00:44:09,405024.0,23374.0,6938.0,23649.0,1034721
